year,states,crime
1960,Alabama,186.6
1960,Alaska,104.3
1960,Arizona,207.7
1960,Arkansas,107.7
1960,California,239
1960,Colorado,137.3
1960,Connecticut,36.6
1960,Delaware,84
1960,District of Columbia,553.7
1960,Florida,223.4
1960,Georgia,158.8
1960,Hawaii,21.8
1960,Idaho,38.2
1960,Illinois,365.1
1960,Indiana,84.6
1960,Iowa,23.8
1960,Kansas,58.4
1960,Kentucky,97.3
1960,Louisiana,153.2
1960,Maine,29.8
1960,Maryland,151.3
1960,Massachusetts,48.8
1960,Michigan,217.7
1960,Minnesota,42
1960,Mississippi,102.7
1960,Missouri,172.9
1960,Montana,67.1
1960,Nebraska,41.8
1960,Nevada,145.8
1960,New Hampshire,13.3
1960,New Jersey,114.3
1960,New Mexico,143
1960,New York,325.4
1960,North Carolina,223.5
1960,North Dakota,14.2
1960,Ohio,83.7
1960,Oklahoma,97
1960,Oregon,69.7
1960,Pennsylvania,99
1960,Rhode Island,36.8
1960,South Carolina,143.7
1960,South Dakota,41.4
1960,Tennessee,91.1
1960,Texas,161
1960,Utah,54.3
1960,Vermont,9.5
1960,Virginia,183.7
1960,Washington,56.6
1960,West Virginia,64.5
1960,Wisconsin,31.9
1960,Wyoming,109.7
1960,United_States_Total,160.9
1961,Alabama,168.5
1961,Alaska,88.9
1961,Arizona,164.5
1961,Arkansas,100.7
1961,California,232.7
1961,Colorado,149.3
1961,Connecticut,33.6
1961,Delaware,69.4
1961,District of Columbia,587.9
1961,Florida,217.8
1961,Georgia,157.2
1961,Hawaii,24.5
1961,Idaho,32.5
1961,Illinois,362.2
1961,Indiana,85.8
1961,Iowa,23.1
1961,Kansas,58.4
1961,Kentucky,94.5
1961,Louisiana,135.7
1961,Maine,33.7
1961,Maryland,155.6
1961,Massachusetts,53.1
1961,Michigan,207.4
1961,Minnesota,43.4
1961,Mississippi,102.7
1961,Missouri,166
1961,Montana,67
1961,Nebraska,41
1961,Nevada,183.6
1961,New Hampshire,14.3
1961,New Jersey,107
1961,New Mexico,130
1961,New York,325.4
1961,North Carolina,201
1961,North Dakota,25
1961,Ohio,80.9
1961,Oklahoma,103.3
1961,Oregon,69
1961,Pennsylvania,97.9
1961,Rhode Island,42.9
1961,South Carolina,137.8
1961,South Dakota,35.5
1961,Tennessee,108.2
1961,Texas,157.8
1961,Utah,49.2
1961,Vermont,20
1961,Virginia,186.1
1961,Washington,58.1
1961,West Virginia,63.1
1961,Wisconsin,31.5
1961,Wyoming,85.2
1961,United_States_Total,158.1
1962,Alabama,157.3
1962,Alaska,91.5
1962,Arizona,173
1962,Arkansas,91.4
1962,California,234.8
1962,Colorado,156.8
1962,Connecticut,36.1
1962,Delaware,72.1
1962,District of Columbia,605.9
1962,Florida,192.1
1962,Georgia,151.2
1962,Hawaii,36.9
1962,Idaho,33.5
1962,Illinois,383.7
1962,Indiana,88.9
1962,Iowa,20.1
1962,Kansas,66.6
1962,Kentucky,96.1
1962,Louisiana,137.2
1962,Maine,27.7
1962,Maryland,154
1962,Massachusetts,62.1
1962,Michigan,226.6
1962,Minnesota,48.2
1962,Mississippi,92.5
1962,Missouri,185.4
1962,Montana,55
1962,Nebraska,42.9
1962,Nevada,212.2
1962,New Hampshire,28.2
1962,New Jersey,126.1
1962,New Mexico,131.2
1962,New York,325.4
1962,North Carolina,201.5
1962,North Dakota,19.9
1962,Ohio,82.9
1962,Oklahoma,101.2
1962,Oregon,78.4
1962,Pennsylvania,104.2
1962,Rhode Island,46.5
1962,South Carolina,123.6
1962,South Dakota,38.7
1962,Tennessee,103.7
1962,Texas,153.4
1962,Utah,57.3
1962,Vermont,14.6
1962,Virginia,184.8
1962,Washington,63.6
1962,West Virginia,64.6
1962,Wisconsin,28.7
1962,Wyoming,42.7
1962,United_States_Total,162.3
1963,Alabama,182.7
1963,Alaska,109.7
1963,Arizona,194.2
1963,Arkansas,107.2
1963,California,241.2
1963,Colorado,130.3
1963,Connecticut,44.7
1963,Delaware,89.1
1963,District of Columbia,594
1963,Florida,215
1963,Georgia,169.5
1963,Hawaii,31
1963,Idaho,50.8
1963,Illinois,330.3
1963,Indiana,102.7
1963,Iowa,22.6
1963,Kansas,82.3
1963,Kentucky,92.1
1963,Louisiana,169.6
1963,Maine,31.2
1963,Maryland,160.6
1963,Massachusetts,66.2
1963,Michigan,227.7
1963,Minnesota,56.7
1963,Mississippi,77.7
1963,Missouri,199.4
1963,Montana,58.6
1963,Nebraska,40.5
1963,Nevada,205.2
1963,New Hampshire,26.2
1963,New Jersey,136.8
1963,New Mexico,135.2
1963,New York,325.4
1963,North Carolina,210.9
1963,North Dakota,28.7
1963,Ohio,89.3
